astroid-error,F0002
import-outside-toplevel,C0415
import-private-name,C2701
invalid-characters-in-docstring,C0403
invalid-name,C0103
line-too-long,C0301
misplaced-comparison-constant,C2201
missing-class-docstring,C0115
missing-final-newline,C0304
missing-function-docstring,C0116
missing-module-docstring,C0114
mixed-line-endings,C0327
multiple-imports,C0410
multiple-statements,C0321
non-ascii-module-import,C2403
non-ascii-name,C2401
single-string-used-for-slots,C0205
singleton-comparison,C0121
superfluous-parens,C0325
too-many-lines,C0302
trailing-newlines,C0305
trailing-whitespace,C0303
typevar-double-variance,C0131
typevar-name-incorrect-variance,C0105
typevar-name-mismatch,C0132
unexpected-line-ending-format,C0328
ungrouped-imports,C0412
unidiomatic-typecheck,C0123
unnecessary-direct-lambda-call,C3002
unnecessary-dunder-call,C2801
unnecessary-lambda-assignment,C3001
unnecessary-negation,C0117
use-implicit-booleaness-not-comparison,C1803
use-implicit-booleaness-not-comparison-to-string,C1804
use-implicit-booleaness-not-comparison-to-zero,C1805
use-implicit-booleaness-not-len,C1802
use-maxsplit-arg,C0207
use-sequence-for-iteration,C0208
useless-import-alias,C0414
wrong-import-order,C0411
wrong-import-position,C0413
wrong-spelling-in-comment,C0401
wrong-spelling-in-docstring,C0402
blacklisted-name,C0102
compare-to-empty-string,C1901
compare-to-zero,C2001
len-as-condition,C1801
missing-docstring,C0111
old-misplaced-comparison-constant,C0122
old-non-ascii-name,C0144
unneeded-not,C0113
chained-comparison,R1716
comparison-of-constants,R0133
comparison-with-itself,R0124
condition-evals-to-constant,R1727
confusing-consecutive-elif,R5601
consider-alternative-union-syntax,R6003
consider-merging-isinstance,R1701
consider-refactoring-into-while-condition,R3501
consider-swap-variables,R1712
consider-using-alias,R6002
consider-using-assignment-expr,R6103
consider-using-augmented-assign,R6104
consider-using-dict-comprehension,R1717
consider-using-from-import,R0402
consider-using-generator,R1728
consider-using-get,R1715
consider-using-in,R1714
consider-using-join,R1713
consider-using-max-builtin,R1731
consider-using-min-builtin,R1730
consider-using-namedtuple-or-dataclass,R6101
consider-using-set-comprehension,R1718
consider-using-sys-exit,R1722
consider-using-ternary,R1706
consider-using-tuple,R6102
consider-using-with,R1732
cyclic-import,R0401
duplicate-code,R0801
else-if-used,R5501
empty-comment,R2044
inconsistent-return-statements,R1710
literal-comparison,R0123
magic-value-comparison,R2004
no-classmethod-decorator,R0202
no-else-break,R1723
no-else-continue,R1724
no-else-raise,R1720
no-else-return,R1705
no-self-use,R6301
no-staticmethod-decorator,R0203
prefer-typing-namedtuple,R6105
property-with-parameters,R0206
redefined-argument-from-local,R1704
redefined-variable-type,R0204
redundant-typehint-argument,R6006
simplifiable-condition,R1726
simplifiable-if-expression,R1719
simplifiable-if-statement,R1703
simplify-boolean-expression,R1709
stop-iteration-return,R1708
super-with-arguments,R1725
too-complex,R1260
too-few-public-methods,R0903
too-many-ancestors,R0901
too-many-arguments,R0913
too-many-boolean-expressions,R0916
too-many-branches,R0912
too-many-instance-attributes,R0902
too-many-locals,R0914
too-many-nested-blocks,R1702
too-many-public-methods,R0904
too-many-return-statements,R0911
too-many-statements,R0915
trailing-comma-tuple,R1707
unnecessary-comprehension,R1721
unnecessary-dict-index-lookup,R1733
unnecessary-list-index-lookup,R1736
use-a-generator,R1729
use-dict-literal,R1735
use-list-literal,R1734
use-set-for-membership,R6201
useless-object-inheritance,R0205
useless-option-value,R0022
useless-return,R1711
old-no-self-use,R0201
old-simplifiable-if-statement,R0102
old-too-many-nested-blocks,R0101
bad-inline-option,I0010
c-extension-no-member,I1101
deprecated-pragma,I0022
file-ignored,I0013
locally-disabled,I0011
raw-checker-failed,I0001
suppressed-message,I0020
use-symbolic-message-instead,I0023
useless-suppression,I0021
deprecated-disable-all,I0014
